dict_size: 17809
#############################
maximum sentence length: 55
minimum sentence length: 1
length	frequency
scheme	36
killing	36
self-consciously	36
frustratingly	36
majority	36
lightness	36
consuming	36
groove	36
naipaul	36
agenda	36
atmospheric	36
dressed	36
consistent	36
stray	36
boomer	36
elegance	36
transporting	36
authenticity	36
incongruous	36
afterthought	36
regarding	36
irrelevant	36
ol	36
strict	36
brash	36
undone	36
purport	36
legend	36
lowbrow	36
prophecy	36
massacre	36
comedy-drama	36
cinematographer	36
rapid	36
contradictory	36
boot	36
tawdry	35
toback	35
otherworldly	35
greatness	35
gut-wrenching	35
explored	35
lilia	35
workplace	35
reflective	35
pass	35
pearl	35
plane	35
vardalos	35
hawk	35
steer	35
jay	35
destiny	35
glaring	35
palestinian	35
secretary	35
warmed-over	35
unfold	35
postmodern	35
terminally	35
enticing	35
equilibrium	35
smell	35
foster	35
anticipated	35
described	35
shift	35
full-length	35
anymore	35
vulnerable	35
excruciating	35
vulgarity	35
agonizing	35
involve	35
injustice	35
aisle	35
punctuated	35
remaining	35
defeated	35
dense	35
burr	35
ill-conceived	35
max	35
aimless	35
neck	35
hefty	35
alfred	35
cheerful	35
shop	35
expose	35
restroom	35
ongoing	35
manipulation	35
abc	35
holy	35
perry	35
mountain	35
celebratory	35
fervently	35
implies	35
crudity	35
furious	35
embarrassed	35
reached	35
climate	35
outline	35
sleek	35
hideously	35
fade	35
explode	35
commanding	35
glow	35
primitive	35
stately	35
gosling	35
awfully	35
decadent	35
electric	35
enduring	35
knack	35
telegraphed	35
ape	35
brosnan	35
grain	35
brush	35
profession	35
admirably	34
recommended	34
qatsi	34
suitable	34
creep	34
wrench	34
repellent	34
typically	34
thoughtfulness	34
intensely	34
massive	34
outrage	34
haunt	34
guffaw	34
twisty	34
damon	34
clad	34
incomprehensible	34
mass	34
zippy	34
nifty	34
world-class	34
alert	34
impostor	34
illustrates	34
picture-perfect	34
pervasive	34
optimistic	34
pompous	34
bros.	34
placed	34
unwatchable	34
chooses	34
overrun	34
network	34
dv	34
stink	34
fuss	34
depict	34
1975	34
contact	34
accuracy	34
filming	34
promised	34
adrenaline	34
goose	34
sublime	34
september	34
darkness	34
nine	34
phrase	34
floating	34
impersonal	34
alongside	34
camouflage	34
lovingly	34
journalism	34
friendly	34
believed	34
vibe	34
choreographed	34
self-absorbed	34
league	34
unimaginable	34
giddy	34
leaky	34
cutesy	34
inconsistency	34
contribution	34
freundlich	34
bos	34
elevate	34
branagh	34
margin	34
reminding	34
fist	34
godzilla	34
profoundly	34
smoothly	34
contradiction	34
radiant	34
lecture	34
connect-the-dots	34
exists	34
motown	34
heel	34
pauline	34
repeated	34
paris	34
solemn	34
property	34
parallel	34
unabashed	34
recite	34
idiotic	34
layered	34
unsuspecting	34
piffle	34
ham-fisted	34
symbolic	34
swaggering	34
acute	34
racism	34
byler	34
quieter	34
'50s	34
scientist	34
autobiographical	34
pump	34
hopelessly	34
sky	34
tart	34
thirty	34
tadpole	34
survivor	34
black-and-white	34
nostalgic	34
clip	34
tambor	34
lobby	34
arresting	34
frighteningly	34
veneer	34
driven	33
nonsensical	33
solace	33
hokey	33
ham	33
hat	33
chair	33
myers	33
shockingly	33
opposite	33
pacino	33
vacuum	33
claw	33
heist	33
via	33
curmudgeon	33
smiling	33
rapidly	33
elling	33
muted	33
clancy	33
difficulty	33
fitfully	33
capra	33
pryor	33
pause	33
tattoo	33
quinn	33
punching	33
experimentation	33
bank	33
forte	33
suspension	33
pungent	33
transformed	33
dilemma	33
fizz	33
nudity	33
compensate	33
regardless	33
sanctimony	33
redundancy	33
shown	33
19th-century	33
overwritten	33
unmentionable	33
h.g	33
mugging	33
eating	33
teeming	33
breast	33
ratliff	33
kwan	33
economic	33
post-production	33
blowing	33
historically	33
crossed	33
globe	33
dishonest	33
punch-drunk	33
tread	33
mistaken	33
exploiting	33
spellbinding	33
kidman	33
kilmer	33
desiccated	33
threadbare	33
stolid	33
perfunctory	33
julia	33
innuendo	33
depend	33
1998	33
accurately	33
lick	33
supremely	33
tragically	33
shoe	33
label	33
tout	33
heartbreak	33
fertile	33
stoop	33
robinson	33
geared	33
expert	33
half-hour	33
lark	33
portraying	33
chomp	33
payne	33
mcgrath	33
skateboard	33
obviousness	33
gibson	33
carved	33
musketeer	33
crossroad	33
rushed	33
lyne	33
48	33
merchant	33
voice-over	33
obsessive	33
macdowell	33
acknowledges	33
london	33
unaffected	33
deuce	33
geek	33
mug	33
judge	33
zeal	33
civil	33
last-minute	33
bath	33
website	33
population	33
hack	33
coma	33
gantz	33
turkey	33
andrew	33
racist	33
numbing	33
misanthropic	33
ron	33
rocket	33
sonny	33
self-discovery	33
posturing	33
bumbling	33
richness	33
rarity	33
satiric	33
myth	33
liven	33
superficially	32
barney	32
worker	32
agitprop	32
sociology	32
unit	32
speculation	32
crammed	32
deserved	32
revealed	32
jia	32
reveal	32
concentrate	32
throwback	32
neighbor	32
nachtwey	32
prep-school	32
invigorating	32
hunting	32
romanek	32
clock	32
section	32
resemble	32
jet	32
religion	32
tidal	32
bodily	32
narratively	32
rouge	32
chaplin	32
voyeuristic	32
mannered	32
checking	32
3-d	32
forgiven	32
pairing	32
sadistic	32
ice-t	32
pessimistic	32
quirkiness	32
kept	32
campy	32
curse	32
defeat	32
constraint	32
wistful	32
january	32
opened	32
marina	32
texture	32
tackling	32
rollicking	32
enjoyment	32
strained	32
open-ended	32
anne-sophie	32
injury	32
spontaneous	32
guide	32
guaranteed	32
unremarkable	32
schmaltz	32
requires	32
rotten	32
narc	32
concession	32
shaky	32
circus	32
smoking	32
weepy	32
overcomes	32
hood	32
architecture	32
anchor	32
orphan	32
labute	32
detective	32
1995	32
annals	32
slog	32
shocked	32
characteristic	32
parental	32
tuck	32
distracted	32
fanatic	32
stir	32
travail	32
toe	32
cruelty	32
scrooge	32
bravery	32
excited	32
jumbo	32
access	32
tattered	32
chasing	32
overshadowed	32
billy	32
introduces	32
gleaned	32
asset	32
jumble	32
hypnotic	32
goo	32
ton	32
aspires	32
splendor	32
intellect	32
unpretentious	32
questionable	32
janice	32
compare	32
slightest	32
lonely	32
parking	32
kosashvili	32
okay	32
dana	32
gosford	32
flight	32
goofball	32
artiste	32
contemplative	32
flip-flop	32
futuristic	32
privileged	32
inescapable	32
unfolding	32
comically	31
cannibal	31
preceded	31
comprehensible	31
joseph	31
crashing	31
sm	31
destroy	31
liberation	31
mann	31
torpor	31
profane	31
grounded	31
legged	31
juliette	31
information	31
reduce	31
research	31
appreciation	31
gold	31
extravagant	31
sweetheart	31
jelinek	31
oddest	31
temple	31
elsewhere	31
hawaiian	31
grownup	31
torture	31
singular	31
dead-end	31
cipher	31
taymor	31
lad	31
adolescence	31
unfortunate	31
compromise	31
guilt	31
wan	31
available	31
archive	31
margarita	31
infantile	31
fu	31
nod	31
el	31
stallone	31
physically	31
staging	31
dread	31
stalker	31
sham	31
heritage	31
e	31
laundry	31
jacques	31
sole	31
compendium	31
immediately	31
hit-and-miss	31
undisputed	31
astute	31
dover	31
hoary	31
noticeable	31
great-grandson	31
handed	31
precise	31
mill	31
pubescent	31
round	31
suggestion	31
tub	31
needlessly	31
sung	31
bible	31
must-see	31
aged	31
goodwill	31
sugarman	31
dante	31
1960	31
distracting	31
proficient	31
uncomfortable	31
bogdanovich	31
comfortably	31
humanizing	31
bean	31
tediously	31
bathos	31
maze	31
hitchcockian	31
guarantee	31
perception	31
centered	31
episodic	31
continuity	31
cracker	31
election	31
pg-13	31
j.k.	31
factory	31
12-year-old	31
hungry	31
waydowntown	31
viewpoint	31
drivel	31
spliced	31
reduces	31
storyteller	31
frighten	31
spouse	31
trooper	31
forcefully	31
randall	31
prejudice	31
lying	31
sprightly	31
glamour	31
highlight	31
wrestling	31
crash	31
grisly	31
holland	31
blip	31
gothic	31
exuberance	31
motherdaughter	31
extension	31
boom	31
levy	30
sickening	30
threatened	30
professor	30
davy	30
hal	30
macabre	30
importantly	30
zhao	30
bowling	30
knot	30
al	30
mendes	30
1950	30
r.	30
w	30
forgiveness	30
prize	30
bounce	30
idealistic	30
wildlife	30
puzzling	30
lilo	30
blonde	30
entertainingly	30
everybody	30
established	30
anarchist	30
rocky	30
sayles	30
adding	30
thankfully	30
asking	30
mold	30
kafka	30
genteel	30
reacting	30
directly	30
blunt	30
nemesis	30
attached	30
fascinates	30
leftover	30
nerd	30
moonlight	30
stopped	30
expecting	30
charlotte	30
kate	30
small-town	30
hyped	30
delinquent	30
paranoid	30
in-joke	30
clayburgh	30
legitimate	30
operates	30
lured	30
indifference	30
ninety	30
minority	30
inhabitant	30
chatty	30
sleepless	30
hawke	30
seed	30
doc	30
establishes	30
meditative	30
tolerance	30
trimming	30
meander	30
a-list	30
worm	30
high-concept	30
dude	30
pageant	30
overproduced	30
thank	30
manifesto	30
laudable	30
flavor	30
pronounce	30
everlasting	30
evade	30
morgan	30
smoother	30
argento	30
extensive	30
deliberately	30
ambrose	30
bridget	30
disregard	30
newfangled	30
transporter	30
occasion	30
numbingly	30
unearthed	30
fright	30
gaze	30
define	30
deed	30
antonia	30
flaccid	30
applies	30
edits	30
shadowy	30
driving	30
fontaine	30
hopefully	30
unbearable	30
welsh	30
groundbreaking	30
crowd-pleaser	30
illuminating	30
sustained	30
tim	30
scripted	30
bygone	30
drown	30
stream	30
provoke	30
shirley	30
closure	30
denouement	30
60	30
model	30
burstein	30
spends	30
fizzle	30
suddenly	30
plea	30
auteuil	30
oscar-winning	30
shared	30
awakening	30
zombie	30
bombastic	30
allowing	30
owe	30
trenchant	30
malaise	30
painted	30
scrutiny	30
self-esteem	30
moldy	30
miami	30
epiphany	30
sugary	30
dogtown	30
reliable	29
succumb	29
willingness	29
implicit	29
understandable	29
mired	29
superfluous	29
300	29
ironically	29
butterworth	29
salt	29
absurdly	29
wade	29
candid	29
distraction	29
expanded	29
specimen	29
bouncy	29
scandal	29
same-sex	29
uh	29
disarming	29
cletis	29
heft	29
conceptual	29
coherence	29
stagy	29
commitment	29
controversial	29
fessenden	29
disintegrating	29
sarah	29
shed	29
worn	29
classified	29
confirms	29
mojo	29
whimper	29
implication	29
cow	29
cox	29
improvisation	29
nonstop	29
diva	29
sheet	29
diaper	29
learning	29
heightened	29
assembly	29
testimony	29
amazement	29
schizophrenia	29
made-for-tv	29
three-hour	29
distanced	29
wiser	29
outright	29
infuriating	29
insistent	29
shrek	29
upset	29
uninitiated	29
buzz	29
preteen	29
discord	29
recognized	29
perdition	29
vulnerability	29
workout	29
sleeper	29
marvelously	29
inappropriate	29
threw	29
sag	29
metropolitan	29
negative	29
cuban	29
tutorial	29
duvall	29
dialog	29
brimming	29
tract	29
canny	29
unknowable	29
sickly	29
stinker	29
predicament	29
sleeping	29
relying	29
dangerously	29
pal	29
sophistication	29
spectacularly	29
dentist	29
grainy	29
discourse	29
gere	29
vicious	29
severely	29
limb	29
reserved	29
democracy	29
messenger	29
jessica	29
manhood	29
respectful	29
1984	29
j	29
excruciatingly	29
pride	29
fabulous	29
represented	29
puccini	29
flippant	29
beer	29
appearing	29
jez	29
camaraderie	29
engages	29
drained	29
michell	29
multiple	29
feardotcom	29
hustler	29
driver	29
callar	29
tea	29
one-joke	29
scathing	29
bartlett	29
analysis	29
likeable	29
tormented	29
retro	29
anna	29
procession	29
caruso	29
fearlessness	29
unhappy	29
orange	29
cocoon	29
erratic	29
84	29
plainly	29
unknown	29
surroundings	29
noyce	29
turbulent	29
pitch-perfect	29
perpetual	29
wesley	29
distract	29
boob	29
yellow	28
ruthless	28
owes	28
worn-out	28
borrowed	28
plate	28
planned	28
palatable	28
barrymore	28
gloomy	28
long-suffering	28
accomplishes	28
believer	28
misplaced	28
densely	28
searing	28
retains	28
mick	28
wendigo	28
long-winded	28
sucked	28
acceptance	28
mummy	28
knee-jerk	28
ethos	28
tunnel	28
bent	28
distinguish	28
partnership	28
abomination	28
hammy	28
gamesmanship	28
swimming	28
vignette	28
mannerism	28
1979	28
alienate	28
reasonable	28
misguided	28
fish-out-of-water	28
sparse	28
so-called	28
scored	28
cheated	28
auschwitz	28
stimulating	28
immigrant	28
receiving	28
rebel	28
invitation	28
impossibly	28
underwritten	28
egg	28
leather	28
fascinated	28
struck	28
fondness	28
abundant	28
escort	28
effortless	28
selling	28
self-awareness	28
makeup	28
cumbersome	28
bonus	28
bog	28
cocky	28
conjured	28
rut	28
awry	28
sensation	28
mgm	28
jie	28
immense	28
compromised	28
sway	28
grandfather	28
powerpuff	28
kinky	28
assassination	28
flatulence	28
vista	28
savage	28
item	28
favour	28
map	28
set-up	28
permeates	28
dated	28
wiseman	28
inject	28
shafer	28
zero	28
squanders	28
tonal	28
pristine	28
scruffy	28
inimitable	28
ray	28
infuses	28
timid	28
narcissism	28
oily	28
trail	28
resorting	28
sorrowful	28
position	28
thinly	28
stellar	28
anemic	28
liberty	28
chateau	28
squad	28
expects	28
wheel	28
toy	28
rumor	28
duke	28
ruined	28
sledgehammer	28
vicarious	28
puzzle	28
ian	28
boiling	28
uncle	28
treachery	28
fearless	28
meara	28
twohy	28
print	28
nba	28
capitalize	28
subtler	28
lola	28
update	28
grotesque	28
penalty	28
embarrassing	28
pb	28
1950s	28
restraint	28
yorker	28
turntablism	28
nash	28
ridiculousness	28
unconditional	28
chin	28
sin	28
increasing	28
unchecked	28
molly	28
co-written	28
bogged	28
closet	28
frustrated	28
leak	28
strangeness	28
inherently	28
cuisine	27
wine	27
singer	27
modern-day	27
epps	27
realizing	27
toro	27
modestly	27
square	27
realization	27
denizen	27
puerile	27
respite	27
bargain-basement	27
pompeo	27
discernible	27
hick	27
rodriguez	27
fraser	27
conditioning	27
compliment	27
reverence	27
existing	27
baffled	27
carrying	27
classy	27
freaky	27
self-absorption	27
intellectually	27
figured	27
arrest	27
blurry	27
iris	27
reckless	27
smoochy	27
envious	27
compulsively	27
unblinking	27
auteur	27
humble	27
photographer	27
graduated	27
battlefield	27
invincible	27
flag	27
kitten	27
cal	27
posing	27
clothing	27
1958	27
poetically	27
crossover	27
tube	27
malcolm	27
log	27
prepare	27
splitting	27
manager	27
conscience	27
platitude	27
cathartic	27
helm	27
dire	27
walter	27
jazzy	27
rattling	27
wondrous	27
dive	27
earned	27
simple-minded	27
spray	27
topless	27
jesse	27
paean	27
swoony	27
spookiness	27
muccino	27
quaid	27
weightless	27
negotiate	27
cruelly	27
voyage	27
brand-new	27
connoisseur	27
jules	27
mcdormand	27
unexplored	27
narration	27
urgent	27
potato	27
lynch	27
turgid	27
elbow	27
indifferent	27
undermines	27
stitch	27
frequent	27
allegedly	27
seam	27
bmw	27
animatronic	27
prism	27
recklessness	27
liar	27
iconoclastic	27
shainberg	27
twenty	27
racy	27
bloated	27
alluring	27
per	27
possession	27
22-year-old	27
ellen	27
sing	27
overtly	27
elizabethan	27
disease	27
normally	27
upbeat	27
appearance	27
griffith	27
penetrating	27
two-dimensional	27
beaten	27
punishment	27
thesis	27
psychic	27
rain	27
staggeringly	27
temptation	27
unbearably	27
successfully	27
leguizamo	27
crippled	27
healthy	27
chocolate	27
wal-mart	27
performed	27
surviving	27
trade	27
dutiful	27
mount	27
weep	27
delhi	27
gary	27
included	27
bout	27
risky	27
ethnicity	27
lower	27
prey	27
sunnier	27
tenderness	27
desired	27
struggled	27
86	27
g	27
fetish	27
welles	27
probing	27
profanity	27
magnolia	27
undeveloped	26
smirk	26
zany	26
doldrums	26
hatfield	26
marshall	26
sunset	26
crocodile	26
tenacious	26
rea	26
michele	26
amalgam	26
unforgettably	26
savor	26
maintaining	26
internet	26
draft	26
stylings	26
faded	26
testimonial	26
parent-child	26
bette	26
futile	26
middling	26
fluent	26
oleander	26
damme	26
gadget	26
moderately	26
fatale	26
errol	26
kissing	26
decline	26
defiantly	26
whodunit	26
biennial	26
considerably	26
monumental	26
lolita	26
norton	26
altman	26
drum	26
sacrificing	26
pleasantly	26
unattractive	26
no-frills	26
1952	26
magnetic	26
apartment	26
imperfect	26
satisfied	26
jerking	26
stillborn	26
wertmuller	26
critique	26
denied	26
cherish	26
anarchic	26
impatiently	26
marker	26
influenced	26
undead	26
contemplation	26
tangled	26
craig	26
neatly	26
tucker	26
closest	26
frankie	26
tossing	26
pitched	26
elemental	26
skeleton	26
grimly	26
absence	26
raymond	26
boredom	26
stomach-turning	26
novak	26
macy	26
acerbic	26
impressively	26
forster	26
howler	26
hickenlooper	26
lake	26
saddled	26
lingers	26
minimal	26
escaped	26
mode	26
shaking	26
dickensian	26
bet	26
truck	26
gray	26
controlled	26
quill	26
mel	26
rabbit-proof	26
playwright	26
principle	26
distinction	26
dazzle	26
dim-witted	26
chimp	26
sociopath	26
twaddle	26
sword	26
caretaker	26
bubbly	26
objectivity	26
gaudy	26
butt	26
slapping	26
companion	26
special-effects	26
grip	26
geriatric	26
significantly	26
fincher	26
narrow	26
proved	26
lodging	26
tinseltown	26
metal	26
butler	26
kindness	26
memoir	26
collaborator	26
environmental	26
sporadic	26
calling	26
imaginatively	26
finished	26
judgment	26
ramble	26
straight-ahead	26
lasting	26
rat	26
drowsy	26
all-time	26
speech	26
doorstep	26
deleted	26
limitation	26
credited	26
tasteful	26
dustin	26
afterlife	26
nonjudgmental	26
generosity	26
region	26
inability	26
plotline	26
competition	26
releasing	26
ali	26
condensed	26
equation	26
pinochet	26
redgrave	26
chiefly	26
milestone	26
no-nonsense	26
commended	26
organic	26
echo	26
boil	26
collectively	26
mermaid	26
ensues	26
110	26
kitsch	26
hipness	26
adequately	26
grandiosity	26
appropriately	25
foundation	25
danish	25
addict	25
rolled	25
tiniest	25
inadvertently	25
sprecher	25
double-cross	25
plucky	25
relaxed	25
israeli	25
madcap	25
cure	25
shepard	25
majidi	25
crypt	25
a.	25
accompanying	25
resume	25
unrewarding	25
coupled	25
darling	25
mirren	25
dragged	25
healing	25
von	25
reginald	25
movie-star	25
nominated	25
hard-bitten	25
involves	25
unwieldy	25
graze	25
lily	25
thanksgiving	25
ringu	25
outsider	25
tenor	25
unsympathetic	25
inexperienced	25
flailing	25
triumphant	25
diggs	25
1940s	25
approached	25
disappoint	25
lan	25
modesty	25
lifelong	25
recognizable	25
medicine	25
lewis	25
toast	25
dr	25
observed	25
frenetic	25
whine	25
perform	25
retreat	25
born	25
bellini	25
q	25
self-preservation	25
pushed	25
woefully	25
fireball	25
ruinous	25
tearjerker	25
suspected	25
bettany	25
improvement	25
unease	25
assayas	25
groan	25
two-thirds	25
orgasm	25
venice	25
patrolman	25
derived	25
earns	25
revolutionary	25
humdrum	25
retaliation	25
suicide	25
overlooked	25
transparently	25
007	25
spousal	25
88-minute	25
beijing	25
achieved	25
bastard	25
tend	25
mythology	25
resident	25
sustenance	25
drizzle	25
north	25
showgirl	25
akin	25
lucy	25
fiery	25
requisite	25
far-fetched	25
candidate	25
normal	25
ordeal	25
eyelid	25
notably	25
preordained	25
uninvolving	25
stance	25
meeting	25
lull	25
indication	25
pee	25
scariest	25
potency	25
halfhearted	25
swooping	25
attachment	25
realistically	25
scant	25
sporadically	25
showdown	25
administration	25
oration	25
bathroom	25
prevalent	25
invisible	25
danny	25
interior	25
entranced	25
diane	25
two-hour	25
laid	25
millennium	25
client	25
flop	25
unhurried	25
1960s	25
facet	25
reversal	25
amos	25
plus	25
liman	25
swedish	25
messiness	25
tumultuous	25
eagle	25
skillfully	25
hypertime	25
deafening	25
librarian	25
a.i	25
guitar	25
self-aware	25
testud	25
helmer	25
purposeful	25
confined	25
mall	25
provided	25
fanatical	25
discerned	25
platter	25
built-in	25
headache	25
characterized	25
health	25
fantastical	25
fallen	25
feed	25
cleaner	25
alike	25
unlimited	25
70	25
generates	25
stasis	25
breathing	25
impress	25
obscurity	25
titus	25
masochism	25
swear	25
pony	24
treading	24
immature	24
hilariously	24
94	24
eye-popping	24
masala	24
undistinguished	24
coarseness	24
golden	24
unequivocally	24
shaken	24
skewed	24
conscious	24
sexually	24
plotless	24
snatch	24
lurking	24
dreamed	24
plummer	24
grown-ups	24
devolves	24
bravura	24
norm	24
vin	24
mistress	24
generated	24
figuring	24
binks	24
delectable	24
raucous	24
ho-hum	24
pressed	24
churn	24
formal	24
preemptive	24
oddity	24
hispanic	24
consigned	24
off-kilter	24
rah-rah	24
tremor	24
harbor	24
die-hard	24
sameness	24
denzel	24
godfrey	24
thornberrys	24
command	24
gazing	24
compared	24
paulette	24
hindsight	24
wore	24
operatic	24
sanctimonious	24
legally	24
affected	24
soothing	24
dashing	24
miscalculation	24
ferocity	24
minus	24
93	24
ilk	24
illogic	24
hurry	24
anonymous	24
hypnotically	24
showy	24
labyrinthine	24
craftsmanship	24
siegel	24
duration	24
gaza	24
embracing	24
accumulates	24
austerity	24
ash	24
heroic	24
overexposed	24
collaboration	24
hallucinatory	24
glum	24
ingratiating	24
specialty	24
underscore	24
comprehend	24
uptight	24
updating	24
gayton	24
sassy	24
sensuality	24
sabotage	24
headed	24
francisco	24
suspiciously	24
tomcat	24
captain	24
diversity	24
county	24
warped	24
mattei	24
breathes	24
explain	24
breckin	24
loaded	24
sheridan	24
infinitely	24
automatically	24
powerfully	24
sharing	24
first-timer	24
nyc	24
toxic	24
nazi	24
chainsaw	24
strip	24
plausibility	24
o'fallon	24
one-trick	24
raunch	24
eats	24
excels	24
megaplex	24
myriad	24
recycling	24
gai	24
muscle	24
traditionally	24
snap	24
desert	24
barbara	24
subtlest	24
proof	24
sermon	24
mib	24
gasping	24
scorpion	24
cinematically	24
sorrow	24
clinic	24
assuming	24
returning	24
washed	24
heck	24
exterior	24
nike	24
amateur	24
hangover	24
varying	24
fairy-tale	24
discovering	24
prop	24
craziness	24
convolution	24
midway	24
civic	24
questioning	24
plastic	24
superman	24
18-year-old	24
brightly	24
tasteless	24
poised	24
substandard	24
clique	24
mira	24
flattering	24
reflect	24
brave	24
unrelenting	24
ultra-violent	24
consciously	24
sweep	24
hour-and-a-half	24
papin	24
plunge	24
schlock	24
clear-eyed	24
disquieting	24
rapid-fire	24
tax	24
miike	24
discomfort	24
subcontinent	24
mcculloch	24
approaching	24
scattershot	24
badness	24
vastly	24
smeary	24
goodness	24
digit	23
shrugging	23
despondent	23
satisfaction	23
brawny	23
transgressive	23
maverick	23
self-hatred	23
hammer	23
corporate	23
army	23
fuse	23
privy	23
yawning	23
weaker	23
seldom	23
midlife	23
canvas	23
suggesting	23
symmetry	23
knee	23
espn	23
artistically	23
raging	23
barbed	23
cheery	23
slender	23
flirt	23
johnny	23
melancholic	23
infrequently	23
evolved	23
suffocating	23
exuberant	23
shorter	23
snail	23
relevance	23
flying	23
soft-core	23
harangue	23
damning	23
bush	23
pawn	23
coolness	23
slim	23
bend	23
baroque	23
luster	23
determine	23
beginner	23
1934	23
shaping	23
generational	23
l.a.	23
russell	23
afghan	23
transparent	23
fiasco	23
peep	23
gained	23
femme	23
withstand	23
wrenching	23
slowest	23
waterlogged	23
implausibility	23
unfulfilled	23
unmistakable	23
pursuing	23
crushingly	23
ignites	23
lumpen	23
cohesion	23
envelope	23
drastic	23
explicit	23
back-stabbing	23
introduce	23
courtship	23
michelle	23
wahlberg	23
palette	23
disloyal	23
choreography	23
barris	23
throe	23
involvement	23
monte	23
vera	23
uniquely	23
reject	23
well-directed	23
bald	23
mckay	23
procedural	23
scriptwriter	23
civilization	23
pillage	23
tastelessness	23
oddball	23
nary	23
boasting	23
extemporaneously	23
twisting	23
morton	23
lukewarm	23
1982	23
introspective	23
satyr	23
heart-wrenching	23
ours	23
coating	23
campus	23
warmed	23
steaming	23
previously	23
dr.	23
net	23
alleged	23
president	23
budding	23
videotape	23
mine	23
sounding	23
zealand	23
self-destructive	23
larson	23
humanly	23
fluffy	23
non-stop	23
inquisitive	23
tapping	23
confronting	23
kim	23
assigned	23
confrontation	23
magazine	23
secondhand	23
fashioned	23
uneventful	23
dwarf	23
bratty	23
dick	23
flat-out	23
subplot	23
dash	23
worrying	23
rally	23
jeffrey	23
speedy	23
affable	23
uncharted	23
sadism	23
libertine	23
needy	23
elli	23
self-reflection	23
carnage	23
rifkin	23
prowess	23
dreamlike	23
kathy	23
tolerate	23
small-screen	23
hudlin	23
subconscious	23
bind	23
unmemorable	23
cabin	23
skillful	23
skinny	23
motherhood	23
villeneuve	23
nastier	23
recommending	23
noisy	23
daddy	23
enchantment	23
83	23
proceeds	23
weaponry	23
outshine	23
20th-century	23
yank	23
gentility	23
daydream	23
fuhrman	23
physique	23
selfish	23
attempted	23
adjective	23
row	23
comforting	23
australian	23
worship	23
populated	23
simpleminded	23
surf	23
nerdy	23
wanders	23
trim	23
memento	23
moronic	23
yawn	23
confines	23
intact	23
bullwinkle	23
valley	23
suspecting	23
brass	23
treating	23
occurs	23
bawdy	23
unsurprising	23
uproarious	23
disturbingly	23
aficionado	23
affectionate	23
unprecedented	23
old-time	23
r-rated	23
resistance	23
surefire	23
separation	23
despairing	23
bouquet	23
talking-head	23
puberty	23
purest	23
cristo	23
old-school	23
backstage	23
cockettes	23
existentialism	22
chasm	22
goyer	22
conned	22
encourage	22
outburst	22
culkin	22
playfulness	22
humming	22
adroitly	22
1980	22
split	22
stultifyingly	22
creek	22
torturing	22
shootout	22
soup	22
crowd-pleasing	22
sap	22
considers	22
swashbuckling	22
auditorium	22
dour	22
tripe	22
terry	22
freddie	22
backyard	22
register	22
eloquence	22
warmly	22
overwhelmed	22
pootie	22
compellingly	22
mighty	22
behave	22
chai	22
afterwards	22
marry	22
engagingly	22
wander	22
cutting-edge	22
demonstration	22
allusion	22
superhero	22
dust	22
seamy	22
gainsbourg	22
triteness	22
housing	22
arrow	22
dusty	22
complicity	22
lau	22
pessimism	22
devito	22
da	22
gored	22
turmoil	22
nonconformist	22
tara	22
honored	22
paint-by-number	22
wintry	22
amusement	22
reid	22
greatly	22
know-how	22
permutation	22
ye	22
speculative	22
grandiloquent	22
interminable	22
victimized	22
liu	22
stein	22
channeling	22
behalf	22
goodall	22
biblical	22
renner	22
hostile	22
tuned	22
liking	22
reduction	22
courageous	22
unexceptional	22
drowned	22
wary	22
newfoundland	22
burdette	22
tykwer	22
interlude	22
soul-searching	22
bloodshed	22
decides	22
eyeball	22
appeared	22
personified	22
tang	22
airhead	22
surfeit	22
fleeing	22
enervating	22
according	22
tiresomely	22
workshop	22
grit	22
mob	22
grin	22
doll	22
expressing	22
astronaut	22
character-driven	22
readily	22
association	22
boisterous	22
insufferable	22
tour-de-force	22
unexplainable	22
spiked	22
iron	22
itch	22
werewolf	22
kouyate	22
imamura	22
iraqi	22
slickness	22
masculine	22
navel-gazing	22
iii	22
blender	22
ambivalence	22
sack	22
monkey	22
psychedelic	22
teasing	22
well-worn	22
moralizing	22
preview	22
pesky	22
lovable	22
rider	22
comprehension	22
hitler	22
laptop	22
ably	22
espionage	22
corn	22
fury	22
pleaser	22
comparable	22
gaghan	22
frothy	22
conceal	22
begun	22
processed	22
circa	22
trot	22
begging	22
pedestal	22
intacto	22
stereotyped	22
oh	22
discern	22
piquant	22
debated	22
sven	22
maneuver	22
began	22
mission	22
syrup	22
aristocracy	22
wonderment	22
investigate	22
reliance	22
unendurable	22
modernize	22
ticking	22
hotdog	22
summertime	22
graham	22
roughshod	22
disingenuous	22
maternal	22
wwii	22
playbook	22
counterculture	22
sufficient	22
philosopher	22
column	22
cinderella	22
spiral	22
ideological	22
lore	21
household	21
gargantuan	21
dough	21
dummy	21
detriment	21
fixating	21
klein	21
stunningly	21
respond	21
defiance	21
addessi	21
jolting	21
self-assured	21
mass-murdering	21
15-year-old	21
anchoring	21
admirer	21
harmon	21
wink	21
subsequent	21
igloo	21
observe	21
unlikeable	21
unerring	21
sampling	21
travelogue	21
goliath	21
mopping	21
first-class	21
tatter	21
investment	21
nurse	21
schumacher	21
cheese-laced	21
plant	21
saucy	21
snowball	21
eve	21
rooted	21
contributing	21
apparatus	21
